index,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.163,0.951,2,0.196,0.0489,0.0228,0.332,0.108,75.942,65573,4,EXO,2020-04-21,EXplOration - Live,live
1,0.613,0.959,2,0.102,0.392,0.0,0.354,0.282,116.012,225120,4,EXO,2020-04-21,Tempo - Live,tempo-live
2,0.473,0.977,10,0.35,0.131,0.0,0.539,0.524,175.81,224560,4,EXO,2020-04-21,Transformer - Live,transformer-live
3,0.637,0.937,10,0.124,0.0428,0.0,0.756,0.33,117.989,240587,4,EXO,2020-04-21,Gravity - Live,gravity-live
4,0.562,0.866,11,0.0685,0.0797,0.0,0.902,0.469,83.976,200560,4,EXO,2020-04-21,Sign - Live,sign-live
5,0.608,0.769,11,0.0556,0.436,0.0,0.879,0.371,84.014,244053,4,EXO,2020-04-21,UN Village - Live,un-village-live
6,0.641,0.798,7,0.0947,0.316,0.0,0.888,0.439,98.018,260213,4,EXO,2020-04-21,24/7 - Live,live
7,0.574,0.914,5,0.129,0.128,0.0,0.484,0.48,145.885,204933,4,EXO,2020-04-21,Love Shot - Live,love-shot-live
8,0.586,0.857,8,0.0827,0.502,0.0,0.746,0.433,82.595,194600,4,EXO,2020-04-21,Ooh La La La - Live,ooh-la-la-la-live
9,0.481,0.891,6,0.16,0.00923,0.0,0.867,0.525,149.766,225707,4,EXO,2020-04-21,Monster - Live,monster-live
10,0.61,0.853,0,0.087,0.276,0.0,0.838,0.396,144.982,235173,4,EXO,2020-04-21,Oasis - Live,oasis-live
11,0.459,0.847,6,0.16,0.0955,3.77e-05,0.943,0.351,135.907,211547,4,EXO,2020-04-21,Been Through - Live,been-through-live
12,0.481,0.309,9,0.0316,0.94,0.000954,0.684,0.0776,71.888,259093,4,EXO,2020-04-21,Lights Out - Live,lights-out-live
